state,year,cat,category
North Carolina,2012,15,Medical/Dental
Delaware,2013,1,Debt Consolidation
California,2011,1,Debt Consolidation
Florida,2011,7,Other
Illinois,2014,1,Debt Consolidation
Illinois,2011,7,Other
Illinois,2014,2,Home Improvement
New York,2014,1,Debt Consolidation
New Jersey,2012,1,Debt Consolidation
Michigan,2007,0,Not Available
Texas,2013,1,Debt Consolidation
South Carolina,2013,1,Debt Consolidation
Florida,2012,19,Vacation
Kentucky,2012,1,Debt Consolidation
Georgia,2014,1,Debt Consolidation
Connecticut,2011,7,Other
Maryland,2013,7,Other
Texas,2010,1,Debt Consolidation
California,2011,1,Debt Consolidation
Texas,2012,11,Engagement Ring
Kansas,2010,6,Auto
Ohio,2012,1,Debt Consolidation
New Jersey,2013,1,Debt Consolidation
Colorado,2007,0,Not Available
New York,2011,7,Other
South Carolina,2006,0,Not Available
Arkansas,2014,1,Debt Consolidation
Georgia,2014,1,Debt Consolidation
Kentucky,2013,1,Debt Consolidation
California,2007,0,Not Available
Mississippi,2014,1,Debt Consolidation
Illinois,2012,1,Debt Consolidation
Michigan,2013,18,Taxes
California,2014,1,Debt Consolidation
Alabama,2010,1,Debt Consolidation
Colorado,2008,3,Business
Illinois,2014,2,Home Improvement
Illinois,2012,1,Debt Consolidation
Ohio,2013,15,Medical/Dental
Wisconsin,2008,5,Student Use
Massachusetts,2006,0,Not Available
California,2014,1,Debt Consolidation
Ohio,2012,1,Debt Consolidation
Alabama,2014,1,Debt Consolidation
New York,2008,2,Home Improvement
New Jersey,2012,18,Taxes
California,2013,1,Debt Consolidation
Connecticut,2013,2,Home Improvement
New Jersey,2012,7,Other
Florida,2006,0,Not Available
Kansas,2012,2,Home Improvement
Illinois,2007,0,Not Available
California,2007,0,Not Available
New York,2013,13,Household Expenses
Arkansas,2008,1,Debt Consolidation
Tennessee,2011,1,Debt Consolidation
Connecticut,2013,2,Home Improvement
Maryland,2009,1,Debt Consolidation
Texas,2008,4,Personal Loan
Georgia,2008,6,Auto
Washington,2013,1,Debt Consolidation
Missouri,2013,1,Debt Consolidation
California,2012,1,Debt Consolidation
Minnesota,2014,1,Debt Consolidation
Minnesota,2012,7,Other
Georgia,2011,7,Other
Colorado,2010,3,Business
Washington,2012,1,Debt Consolidation
Virginia,2013,1,Debt Consolidation
Nevada,2012,15,Medical/Dental
California,2013,1,Debt Consolidation
Minnesota,2011,6,Auto
California,2011,1,Debt Consolidation
Georgia,2008,1,Debt Consolidation
New Mexico,2012,19,Vacation
California,2011,1,Debt Consolidation
Virginia,2013,1,Debt Consolidation
Washington,2006,0,Not Available
Michigan,2008,4,Personal Loan
Illinois,2007,0,Not Available
California,2008,1,Debt Consolidation
Idaho,2007,0,Not Available
Ohio,2010,7,Other
Michigan,2008,1,Debt Consolidation
West Virginia,2013,2,Home Improvement
Ohio,2013,1,Debt Consolidation
Florida,2007,0,Not Available
Pennsylvania,2014,1,Debt Consolidation
Illinois,2013,1,Debt Consolidation
Pennsylvania,2013,1,Debt Consolidation
Missouri,2010,1,Debt Consolidation
Michigan,2008,1,Debt Consolidation
California,2011,3,Business
Washington,2013,1,Debt Consolidation
North Carolina,2007,0,Not Available
Ohio,2007,0,Not Available
Oklahoma,2012,3,Business
Colorado,2012,18,Taxes
California,2014,1,Debt Consolidation
Connecticut,2011,7,Other
Kansas,2012,1,Debt Consolidation
New York,2013,1,Debt Consolidation
Oklahoma,2010,1,Debt Consolidation
Pennsylvania,2013,7,Other
Wisconsin,2008,7,Other
Georgia,2012,1,Debt Consolidation
Florida,2013,15,Medical/Dental
Illinois,2013,18,Taxes
Washington,2007,0,Not Available
District of Columbia,2008,7,Other
Maryland,2012,1,Debt Consolidation
Virginia,2006,0,Not Available
Minnesota,2007,1,Debt Consolidation
New York,2010,2,Home Improvement
Michigan,2012,1,Debt Consolidation
California,2012,1,Debt Consolidation
Nevada,2014,1,Debt Consolidation
Illinois,2007,0,Not Available
Idaho,2010,1,Debt Consolidation
New Jersey,2007,0,Not Available
Illinois,2014,1,Debt Consolidation
Illinois,2011,1,Debt Consolidation
Arizona,2010,1,Debt Consolidation
South Carolina,2013,7,Other
Ohio,2012,13,Household Expenses
California,2013,6,Auto
Georgia,2013,13,Household Expenses
West Virginia,2013,1,Debt Consolidation
Illinois,2008,4,Personal Loan
Tennessee,2010,1,Debt Consolidation
California,2008,3,Business
Idaho,2012,7,Other
Ohio,2009,1,Debt Consolidation
Washington,2013,18,Taxes
California,2008,1,Debt Consolidation
Nevada,2011,1,Debt Consolidation
Virginia,2008,3,Business
Georgia,2012,20,Wedding Loans
Pennsylvania,2013,1,Debt Consolidation
Oklahoma,2008,7,Other
Virginia,2014,7,Other
Maryland,2013,6,Auto
Ohio,2011,2,Home Improvement
Tennessee,2010,3,Business
New York,2012,1,Debt Consolidation
Texas,2012,1,Debt Consolidation
Georgia,2013,1,Debt Consolidation
Washington,2011,3,Business
Ohio,2013,1,Debt Consolidation
California,2007,0,Not Available
Oklahoma,2013,1,Debt Consolidation
Virginia,2013,1,Debt Consolidation
Wisconsin,2013,1,Debt Consolidation
Alabama,2011,3,Business
Utah,2006,0,Not Available
Arkansas,2012,2,Home Improvement
Tennessee,2014,1,Debt Consolidation
Virginia,2011,1,Debt Consolidation
California,2013,1,Debt Consolidation
Florida,2011,6,Auto
California,2014,1,Debt Consolidation
Florida,2007,0,Not Available
North Carolina,2012,1,Debt Consolidation
Minnesota,2013,1,Debt Consolidation
South Carolina,2011,1,Debt Consolidation
Oklahoma,2013,1,Debt Consolidation
New Jersey,2013,1,Debt Consolidation
Connecticut,2013,13,Household Expenses
Virginia,2013,1,Debt Consolidation
Minnesota,2014,7,Other
Washington,2012,15,Medical/Dental
Connecticut,2013,7,Other
Colorado,2008,3,Business
Georgia,2007,0,Not Available
Pennsylvania,2012,1,Debt Consolidation
District of Columbia,2014,1,Debt Consolidation
Nevada,2013,1,Debt Consolidation
West Virginia,2014,3,Business
Texas,2013,20,Wedding Loans
Florida,2011,7,Other
New York,2014,1,Debt Consolidation
Ohio,2012,14,Large Purchases
New York,2008,1,Debt Consolidation
Connecticut,2013,1,Debt Consolidation
California,2008,1,Debt Consolidation
Alabama,2013,1,Debt Consolidation
Oregon,2008,1,Debt Consolidation
Texas,2013,1,Debt Consolidation
Michigan,2013,2,Home Improvement
Illinois,2013,1,Debt Consolidation
Missouri,2011,7,Other
New York,2007,0,Not Available
Montana,2008,1,Debt Consolidation
Maryland,2010,1,Debt Consolidation
Illinois,2008,1,Debt Consolidation
California,2014,1,Debt Consolidation
Nevada,2013,1,Debt Consolidation
New Jersey,2012,1,Debt Consolidation
North Carolina,2006,0,Not Available
Indiana,2011,7,Other
Pennsylvania,2013,1,Debt Consolidation
Washington,2010,3,Business
California,2007,0,Not Available
Oklahoma,2010,7,Other
California,2013,1,Debt Consolidation
Indiana,2013,1,Debt Consolidation
New York,2013,3,Business
Florida,2013,1,Debt Consolidation
Ohio,2012,8,Baby&Adoption
Minnesota,2014,1,Debt Consolidation
Missouri,2011,1,Debt Consolidation
Louisiana,2013,1,Debt Consolidation
Hawaii,2013,7,Other
New York,2013,14,Large Purchases
Virginia,2010,2,Home Improvement
California,2013,1,Debt Consolidation
New York,2013,1,Debt Consolidation
California,2013,1,Debt Consolidation
Mississippi,2013,6,Auto
Illinois,2012,1,Debt Consolidation
Indiana,2006,0,Not Available
Arkansas,2014,1,Debt Consolidation
Michigan,2007,0,Not Available
Georgia,2010,7,Other
Michigan,2010,7,Other
Ohio,2013,1,Debt Consolidation
Pennsylvania,2011,1,Debt Consolidation
Texas,2007,3,Business
California,2010,1,Debt Consolidation
Ohio,2010,1,Debt Consolidation
New York,2014,1,Debt Consolidation
Michigan,2013,1,Debt Consolidation
Tennessee,2012,15,Medical/Dental
California,2014,1,Debt Consolidation
Oregon,2008,4,Personal Loan
Georgia,2013,2,Home Improvement
Washington,2007,0,Not Available
Missouri,2007,0,Not Available
New Hampshire,2011,1,Debt Consolidation
Ohio,2007,0,Not Available
North Carolina,2012,13,Household Expenses
Wisconsin,2013,14,Large Purchases
Utah,2008,1,Debt Consolidation
New York,2013,20,Wedding Loans
Illinois,2010,2,Home Improvement
Florida,2013,1,Debt Consolidation
Florida,2009,2,Home Improvement
California,2006,0,Not Available
Maryland,2013,1,Debt Consolidation
South Carolina,2013,1,Debt Consolidation
Ohio,2007,0,Not Available
North Carolina,2014,1,Debt Consolidation
Colorado,2011,1,Debt Consolidation
Colorado,2013,1,Debt Consolidation
Florida,2011,1,Debt Consolidation
Illinois,2013,7,Other
Florida,2008,7,Other
Arkansas,2013,1,Debt Consolidation
Texas,2013,1,Debt Consolidation
Georgia,2011,1,Debt Consolidation
Wisconsin,2014,1,Debt Consolidation
California,2013,1,Debt Consolidation
Texas,2013,18,Taxes
California,2014,1,Debt Consolidation
Texas,2011,1,Debt Consolidation
California,2012,7,Other
Colorado,2013,1,Debt Consolidation
Maryland,2011,1,Debt Consolidation
Indiana,2009,2,Home Improvement
Vermont,2008,3,Business
Minnesota,2012,1,Debt Consolidation
Florida,2012,1,Debt Consolidation
Georgia,2011,1,Debt Consolidation
Florida,2012,13,Household Expenses
Pennsylvania,2014,1,Debt Consolidation
Texas,2006,0,Not Available
Florida,2013,1,Debt Consolidation
North Carolina,2007,0,Not Available
Connecticut,2007,0,Not Available
California,2013,1,Debt Consolidation
North Carolina,2012,1,Debt Consolidation
Mississippi,2013,1,Debt Consolidation
Washington,2013,1,Debt Consolidation
California,2008,1,Debt Consolidation
Wisconsin,2013,1,Debt Consolidation
California,2012,16,Motorcycle
Louisiana,2006,0,Not Available
New York,2012,1,Debt Consolidation
California,2013,1,Debt Consolidation
Illinois,2011,1,Debt Consolidation
California,2007,0,Not Available
Texas,2012,1,Debt Consolidation
New York,2013,1,Debt Consolidation
Connecticut,2013,1,Debt Consolidation
Minnesota,2008,2,Home Improvement
New York,2013,20,Wedding Loans
California,2012,7,Other
Texas,2012,1,Debt Consolidation
Texas,2011,1,Debt Consolidation
California,2014,1,Debt Consolidation
Washington,2011,7,Other
New York,2012,1,Debt Consolidation
Indiana,2013,1,Debt Consolidation
Georgia,2013,1,Debt Consolidation
Texas,2014,1,Debt Consolidation
California,2013,1,Debt Consolidation
Missouri,2012,2,Home Improvement
Florida,2010,2,Home Improvement
Wisconsin,2014,1,Debt Consolidation
Texas,2013,3,Business
Texas,2012,1,Debt Consolidation
Colorado,2013,1,Debt Consolidation
New York,2011,1,Debt Consolidation
California,2013,1,Debt Consolidation
Washington,2008,7,Other
Texas,2013,1,Debt Consolidation
New Jersey,2010,6,Auto
Massachusetts,2013,14,Large Purchases
Nevada,2008,1,Debt Consolidation
Texas,2013,1,Debt Consolidation
Arkansas,2014,1,Debt Consolidation
Massachusetts,2013,1,Debt Consolidation
Oregon,2010,1,Debt Consolidation
Georgia,2012,1,Debt Consolidation
Massachusetts,2012,1,Debt Consolidation
New Jersey,2012,1,Debt Consolidation
Washington,2008,1,Debt Consolidation
Nebraska,2013,1,Debt Consolidation
Virginia,2013,1,Debt Consolidation
District of Columbia,2008,1,Debt Consolidation
Illinois,2007,0,Not Available
New Jersey,2013,1,Debt Consolidation
Missouri,2011,3,Business
Georgia,2014,1,Debt Consolidation
Illinois,2013,2,Home Improvement
Tennessee,2014,1,Debt Consolidation
Oklahoma,2013,1,Debt Consolidation
Texas,2014,2,Home Improvement
Missouri,2013,1,Debt Consolidation
Missouri,2013,1,Debt Consolidation
New Jersey,2013,15,Medical/Dental
New Hampshire,2008,7,Other
Alabama,2012,18,Taxes
Washington,2013,1,Debt Consolidation
New York,2013,1,Debt Consolidation
Florida,2012,2,Home Improvement
Virginia,2013,1,Debt Consolidation
California,2008,7,Other
New Jersey,2008,1,Debt Consolidation
Georgia,2008,1,Debt Consolidation
Nebraska,2013,1,Debt Consolidation
Kansas,2006,0,Not Available
Indiana,2007,0,Not Available
Florida,2010,2,Home Improvement
Michigan,2013,1,Debt Consolidation
New Jersey,2013,1,Debt Consolidation
California,2014,1,Debt Consolidation
Texas,2013,1,Debt Consolidation
California,2013,6,Auto
New Jersey,2012,1,Debt Consolidation
Florida,2007,0,Not Available
California,2012,1,Debt Consolidation
New York,2012,1,Debt Consolidation
Alabama,2007,0,Not Available
California,2007,0,Not Available
Oklahoma,2012,1,Debt Consolidation
Florida,2011,3,Business
Arizona,2008,1,Debt Consolidation
Florida,2013,1,Debt Consolidation
Arizona,2013,1,Debt Consolidation
Georgia,2012,7,Other
Virginia,2013,1,Debt Consolidation
Ohio,2012,13,Household Expenses
Wyoming,2013,1,Debt Consolidation
New Jersey,2013,1,Debt Consolidation
Texas,2012,1,Debt Consolidation
California,2008,1,Debt Consolidation
Texas,2013,7,Other
Ohio,2013,1,Debt Consolidation
District of Columbia,2014,1,Debt Consolidation
Louisiana,2010,6,Auto
Ohio,2012,3,Business
Maryland,2013,2,Home Improvement
California,2012,1,Debt Consolidation
Georgia,2013,1,Debt Consolidation
Washington,2011,7,Other
New York,2012,1,Debt Consolidation
California,2013,2,Home Improvement
Georgia,2013,2,Home Improvement
Texas,2014,1,Debt Consolidation
Ohio,2012,7,Other
Pennsylvania,2013,1,Debt Consolidation
New York,2013,2,Home Improvement
Florida,2014,3,Business
Ohio,2013,1,Debt Consolidation
Oregon,2013,1,Debt Consolidation
Minnesota,2013,9,Boat
Minnesota,2008,1,Debt Consolidation
Florida,2010,1,Debt Consolidation
Michigan,2012,2,Home Improvement
Texas,2013,7,Other
Utah,2006,0,Not Available
Washington,2013,1,Debt Consolidation
Illinois,2013,1,Debt Consolidation
Florida,2012,13,Household Expenses
Georgia,2010,3,Business
Wisconsin,2012,2,Home Improvement
New Hampshire,2013,1,Debt Consolidation
Texas,2011,7,Other
Idaho,2013,1,Debt Consolidation
Missouri,2010,1,Debt Consolidation
Illinois,2013,1,Debt Consolidation
Georgia,2011,1,Debt Consolidation
Georgia,2007,0,Not Available
Illinois,2013,1,Debt Consolidation
California,2009,1,Debt Consolidation
Ohio,2009,1,Debt Consolidation
North Carolina,2012,2,Home Improvement
California,2012,1,Debt Consolidation
Pennsylvania,2009,3,Business
Connecticut,2012,1,Debt Consolidation
Arizona,2007,0,Not Available
Kentucky,2013,2,Home Improvement
Maine,2007,0,Not Available
California,2013,1,Debt Consolidation
California,2013,1,Debt Consolidation
Pennsylvania,2008,1,Debt Consolidation
Florida,2012,19,Vacation
Maryland,2014,7,Other
New York,2013,1,Debt Consolidation
Alabama,2008,4,Personal Loan
Texas,2013,1,Debt Consolidation
Florida,2013,1,Debt Consolidation
Maryland,2013,3,Business
Virginia,2008,4,Personal Loan
New York,2012,1,Debt Consolidation
Nebraska,2010,1,Debt Consolidation
Michigan,2013,18,Taxes
Missouri,2007,0,Not Available
Texas,2013,1,Debt Consolidation
Washington,2012,1,Debt Consolidation
New York,2013,1,Debt Consolidation
Georgia,2009,3,Business
California,2013,1,Debt Consolidation
Virginia,2012,1,Debt Consolidation
Washington,2012,3,Business
Montana,2007,0,Not Available
North Carolina,2013,7,Other
Florida,2011,2,Home Improvement
California,2007,0,Not Available
Florida,2013,1,Debt Consolidation
Alaska,2010,1,Debt Consolidation
Ohio,2013,1,Debt Consolidation
Alabama,2008,4,Personal Loan
Michigan,2013,1,Debt Consolidation
Colorado,2011,6,Auto
Wisconsin,2013,1,Debt Consolidation
Washington,2014,1,Debt Consolidation
Georgia,2013,3,Business
Ohio,2009,2,Home Improvement
Indiana,2011,1,Debt Consolidation
New York,2013,1,Debt Consolidation
Washington,2013,1,Debt Consolidation
Georgia,2008,1,Debt Consolidation
Illinois,2013,1,Debt Consolidation
New Jersey,2013,1,Debt Consolidation
Kansas,2013,1,Debt Consolidation
Minnesota,2012,16,Motorcycle
California,2012,1,Debt Consolidation
Wisconsin,2014,1,Debt Consolidation
New York,2014,1,Debt Consolidation
Texas,2010,7,Other
Illinois,2008,3,Business
New York,2013,1,Debt Consolidation
Missouri,2011,1,Debt Consolidation
New York,2008,7,Other
Massachusetts,2013,1,Debt Consolidation
North Carolina,2013,14,Large Purchases
Nebraska,2014,1,Debt Consolidation
Ohio,2011,3,Business
Florida,2008,4,Personal Loan
Kentucky,2012,13,Household Expenses
Ohio,2012,7,Other
Missouri,2013,1,Debt Consolidation
Florida,2008,7,Other
Florida,2008,1,Debt Consolidation
Wyoming,2013,1,Debt Consolidation
California,2013,1,Debt Consolidation
Texas,2013,19,Vacation
Missouri,2006,0,Not Available
Colorado,2012,13,Household Expenses
Kansas,2011,7,Other
Texas,2014,1,Debt Consolidation
Virginia,2014,1,Debt Consolidation
Michigan,2007,0,Not Available
Texas,2013,2,Home Improvement
Texas,2010,2,Home Improvement
Hawaii,2012,1,Debt Consolidation
Maryland,2013,1,Debt Consolidation
Rhode Island,2013,14,Large Purchases
Oregon,2007,0,Not Available
Oregon,2013,1,Debt Consolidation
Wisconsin,2011,2,Home Improvement
California,2007,0,Not Available
Michigan,2013,1,Debt Consolidation
Georgia,2012,18,Taxes
Minnesota,2007,0,Not Available
Wisconsin,2007,0,Not Available
Colorado,2008,2,Home Improvement
California,2013,1,Debt Consolidation
Florida,2012,17,RV
Arizona,2007,0,Not Available
New York,2013,1,Debt Consolidation
Washington,2008,1,Debt Consolidation
Minnesota,2007,0,Not Available
New Jersey,2012,18,Taxes
Florida,2013,1,Debt Consolidation
Virginia,2007,0,Not Available
Illinois,2012,1,Debt Consolidation
South Carolina,2013,1,Debt Consolidation
Florida,2013,7,Other
Pennsylvania,2012,15,Medical/Dental
California,2007,0,Not Available
Washington,2006,0,Not Available
Washington,2013,1,Debt Consolidation
Missouri,2013,1,Debt Consolidation
Ohio,2010,7,Other
New Jersey,2013,1,Debt Consolidation
California,2013,3,Business
Arizona,2006,0,Not Available
California,2011,1,Debt Consolidation
New Jersey,2013,1,Debt Consolidation
New York,2013,1,Debt Consolidation
Texas,2010,3,Business
Massachusetts,2010,1,Debt Consolidation
Georgia,2013,1,Debt Consolidation
Utah,2010,1,Debt Consolidation
California,2012,1,Debt Consolidation
Indiana,2013,1,Debt Consolidation
New Hampshire,2007,0,Not Available
Texas,2013,1,Debt Consolidation
New Jersey,2011,1,Debt Consolidation
Florida,2013,1,Debt Consolidation
Ohio,2013,1,Debt Consolidation
Illinois,2009,2,Home Improvement
Virginia,2008,4,Personal Loan
Minnesota,2013,1,Debt Consolidation
Georgia,2012,1,Debt Consolidation
Rhode Island,2008,4,Personal Loan
New Jersey,2012,11,Engagement Ring
Colorado,2014,1,Debt Consolidation
New York,2008,4,Personal Loan
New York,2014,1,Debt Consolidation
California,2013,15,Medical/Dental
Indiana,2008,7,Other
Virginia,2013,1,Debt Consolidation
Illinois,2013,1,Debt Consolidation
New Jersey,2014,1,Debt Consolidation
New Jersey,2013,15,Medical/Dental
Utah,2008,1,Debt Consolidation
